"inscription_UK","arkID","descr_textuelle","sujetsMotsClefs","thesaurusTermOntology","thesaurusTermType","thesaurusTermIRI","thesaurusGeo","orientation_descr","orientation_typeAAT","IIIFmanifest","IIIFlink"
"1","12345/001543457","Portrait de Gabriel Lippmann de face, assis dans un fauteuil. Un tissus en velours vert foncé semble posé sur le dos du fauteuil derrière lui. Sa main droite est posé sur le bras du fauteuil au premier plan. Il est âgé (cheveux et bouc blancs). Il porte un costume sombre et une chemise avec une cravate de la même couleur (beige) tenue par une épingle. On note la présence de la rosette de la Légion d'honneur. Au premier plan à droite, on ote la présence d'une forme indéfinissable de couleur verdâtre.","portrait d'artiste","AAT","300438830","http://vocab.getty.edu/aat/300438830",,"paysage","300311843","https://api.nationalmuseum.se/api/objects/19222","http://nationalmuseumse.iiifhosting.com/iiif/6b67e82d21f66308380c15509e97bafa5e696618cff1137988ff80c1aa05e4ee/"
"2","12345/002386745","Spectre lumineux présentant les couleurs bleu, vert, jaune, rouge","spectre","AAT","300056171","http://vocab.getty.edu/aat/300056171",,"paysage","300311843","https://api.nationalmuseum.se/api/objects/19200","http://nationalmuseumse.iiifhosting.com/iiif/c91d4159d792f6aaa1bad1e971bb5d3ba5bc677b84c512675f8072c03b36fb50/"
"3","12345/002386745","Spectre lumineux présentant les couleurs bleu, vert, jaune, rouge","science","AAT","300054462","http://vocab.getty.edu/aat/300054462",,"paysage","300311843","https://api.nationalmuseum.se/api/objects/19200","http://nationalmuseumse.iiifhosting.com/iiif/c91d4159d792f6aaa1bad1e971bb5d3ba5bc677b84c512675f8072c03b36fb50/"
"4","12345/009358693","Vue d'un paysage de montagne en été avec un sentier au centre de la composition entouré de part et d'autre de deux arbres. La pointe du Mont Cervin apparaît en arrière plan. Les ombres portées des arbres sur le chemin suggèrent le soleil proche du zénith.","paysage","AAT","300008626","http://vocab.getty.edu/aat/300008626","7054039","paysage","300311843","https://api.nationalmuseum.se/api/objects/19199","http://nationalmuseumse.iiifhosting.com/iiif/f223cf4ba41ac9601b06d43e6d61986e152db70d4797befa2916a2fb124d8053/"
"5","12345/009358693","Vue d'un paysage de montagne en été avec un sentier au centre de la composition entouré de part et d'autre de deux arbres. La pointe du Mont Cervin apparaît en arrière plan. Les ombres portées des arbres sur le chemin suggèrent le soleil proche du zénith.","montagne","AAT","300411358","http://vocab.getty.edu/aat/300411358","7054039","paysage","300311843","https://api.nationalmuseum.se/api/objects/19199","http://nationalmuseumse.iiifhosting.com/iiif/f223cf4ba41ac9601b06d43e6d61986e152db70d4797befa2916a2fb124d8053/"
"6","12345/009358693","Vue d'un paysage de montagne en été avec un sentier au centre de la composition entouré de part et d'autre de deux arbres. La pointe du Mont Cervin apparaît en arrière plan. Les ombres portées des arbres sur le chemin suggèrent le soleil proche du zénith.","paysage","AAT","300008626","http://vocab.getty.edu/aat/300008626","7054039","paysage","7011731","https://api.nationalmuseum.se/api/objects/19199","http://nationalmuseumse.iiifhosting.com/iiif/f223cf4ba41ac9601b06d43e6d61986e152db70d4797befa2916a2fb124d8053/"
"7","12345/005347698","Perruche de Papouasie-Nouvelle-Guinée naturalisée sur un perchoir en bois. Œil noir, bec jaune-orangé pale, plumage de couleurs bleu turquoise, crête blanche, jabot blanc avec des bandes oranges, jaunes, vertes et bleues foncées ou noirs. Arrière-plan complètement noir, lequel se distingue très légèrement de la couleur du vernis noir opaque.","ornithologie","AAT","300251967","http://vocab.getty.edu/aat/300251967","portrait","300343370","7006160","https://api.nationalmuseum.se/api/objects/19090","http://nationalmuseumse.iiifhosting.com/iiif/229a9511026c6d90c57082f5abb415dbbb94e0bb42c9804feb625c4394315e3d/"
"8","12345/005347698","Perruche de Papouasie-Nouvelle-Guinée naturalisée sur un perchoir en bois. Œil noir, bec jaune-orangé pale, plumage de couleurs bleu turquoise, crête blanche, jabot blanc avec des bandes oranges, jaunes, vertes et bleues foncées ou noirs. Arrière-plan complètement noir, lequel se distingue très légèrement de la couleur du vernis noir opaque.","perroquet","VTO","0023229","http://purl.obolibrary.org/obo/VTO_0023229","portrait","300343370","7006160","https://api.nationalmuseum.se/api/objects/19090","http://nationalmuseumse.iiifhosting.com/iiif/229a9511026c6d90c57082f5abb415dbbb94e0bb42c9804feb625c4394315e3d/"
"9","12345/005347698","Perruche de Papouasie-Nouvelle-Guinée naturalisée sur un perchoir en bois. Œil noir, bec jaune-orangé pale, plumage de couleurs bleu turquoise, crête blanche, jabot blanc avec des bandes oranges, jaunes, vertes et bleues foncées ou noirs. Arrière-plan complètement noir, lequel se distingue très légèrement de la couleur du vernis noir opaque.","perruche","VTO","0023229","http://purl.obolibrary.org/obo/VTO_0023229","portrait","300343370","7006160","https://api.nationalmuseum.se/api/objects/19090","http://nationalmuseumse.iiifhosting.com/iiif/229a9511026c6d90c57082f5abb415dbbb94e0bb42c9804feb625c4394315e3d/"
"10","15053/000000001","Vue sur une maison à flanc de côte, dans un paysage arboré. Au premier plan en bas de l'image, un premier bâtiment en pierres et en briques, avec un toit-terrasse bordé d'un parapet, et des cimes d'arbres [fruitiers, peut-être des cersiers,] placés devant les fenêtres rectangulaires de l'avancée en bas à droite. En bas à gauche, deux portes vitrées, chacune encadrée de deux verrières à longs carreaux verticaux. Au deuxième plan, une pente forte couverte d'arbustes et de broussailles, coupée en biais par mur en pierres [sèches] au pied de la grande bâtisse, sujet de la prise de vue : à la gauche de celle-ci, des jardins ou vergers clos de murs ; à droite, une cour où l'on peut reconnaître notamment un tas de matière végétale ou de fumier et une charrette. Au troisième plan, la maison est enduite de blanc, et on distingue quatre niveaux : un premier au niveau du chemin, avec deux portes et une petite fenêtre carrée ; un deuxième avec deux fenêtres rectangulaires à encadrements de pierre, celle au centre de la façade légèrement plus petite que celle de droite ; un troisième avec trois fenêtres identiques à cette dernière, et surmontées de l'inscription peinte en rouge foncé ou en brun ""AMACAMPAGNE"" [""À ma campagne""] ; un quatrième avec trois fenêtres à cintres surbaissés en façade, une identique sur le côté droit, toutes à encadrements de pierre, dont les bases se prolongent et forment comme un liseré ; le toit en tuiles à deux croupes est surmonté à ses sommets par des petits cônes [métalliques]. De part et d'autre du bâtiment, le terrain est terrassé et arboré, jusqu'au quatrième niveau, où se trouve probablement un autre accès. Au dernier plan, à ce dernier niveau, un petit bois à travers lequel on peut apercevoir la fenêtre d'une troisième bâtisse enduite de blanc. Le lieu de la prise de vue n'est pas connu.","architecture industrielle","AAT","300006231","http://vocab.getty.edu/aat/300006231","portrait","300343370",,"https://api.nationalmuseum.se/api/objects/19029","http://nationalmuseumse.iiifhosting.com/iiif/3d6abbd69f8c80796002885a97aee07f3e8f0da4c5f89fe71257b5bba7c5193a/"
